C_LAST_NAME,C_FIRST_NAME,CA_CITY,BOUGHT_CITY,SS_TICKET_NUMBER,AMT,PROFIT
Aaron,Dina,Fairview,Forest Hills,971252294,1845.46,-7948.14
Aaron,Donald,Crossroads,Lakeview,1429908159,927.37,-700.38
Aaron,Donald,Crossroads,Riverview,1023996245,4958.46,-14458.99
Aaron,Donald,Shady Grove,Maple Grove,1989454792,8622.44,-8699.25
Aaron,Donna,Harmony,Wildwood,866816089,5128.41,-4329.28
Aaron,Dora,Marion,Edgewood,492838442,450.27,-10092.98
Aaron,Dorathy,Providence,New Hope,459180775,2486.87,-7103.17
Aaron,Dorothy,Buena Vista,Greenville,1591225015,2143.22,-7205.36
Aaron,Dorothy,Bunker Hill,Lakewood,904679414,2280.27,-4872.77
Aaron,Dorothy,Mountain View,Lebanon,55164106,7292.53,-18173.81
Aaron,Douglas,Woodlawn,Fairview,1540697714,3754.57,-8310.22
Aaron,Douglas,Woodlawn,Glenville,288811635,3697.84,-10379.52
Aaron,Edward,Brownsville,Wilton,1841643977,6725.71,-2794.29
Aaron,Edward,Liberty,Crossroads,1940543934,553.28,-5970.54
Aaron,Edward,Marion,Doyle,1464092901,0.00,-5544.62
Aaron,Edward,Newport,Five Forks,473021130,3561.48,-14367.46
Aaron,Edward,Newport,Woodbine,1991730836,650.53,-4645.40
Aaron,Edward,Rockwood,Pine Valley,785790342,4557.41,-31689.67
Aaron,Elias,Belleview,Greenfield,870009993,1560.02,-14398.26
Aaron,Elizabeth,Macedonia,Empire,550084867,1053.88,-15562.71
Aaron,Elizabeth,Oakdale,Antioch,1450951334,1611.81,-21514.25
Aaron,Elizabeth,Waterloo,Glendale,809963070,4220.83,-8733.45
Aaron,Eloisa,Edgewood,Fairfield,1005288784,0.00,-4315.99
Aaron,Elsie,Ashland,Mount Vernon,1892925659,882.28,-1121.93
Aaron,Emory,Waterloo,Lakeside,855162250,254.10,-11438.63
Aaron,Erik,White Oak,Jackson,722764732,65.23,-1054.16
Aaron,Ernestine,Centerville,Oak Ridge,336697548,2957.66,-4823.20
Aaron,Essie,Lincoln,Fairview,1679308894,41.48,-4902.60
Aaron,Esther,Hidden Valley,Springhill,966036787,11.95,-12619.31
Aaron,Eugene,Five Points,Greenville,1058841807,0.00,-5311.82
Aaron,Fernando,Union Hill,Welcome,1303634053,6925.85,-12116.49
Aaron,Freda,Oakwood,Sunnyside,1967690963,1229.78,-17197.08
Aaron,George,Richardson,Mountain View,2143790829,0.00,-2519.87
Aaron,George,Sunnyside,Lebanon,463303561,3839.46,-11188.65
Aaron,Gerald,Pine Grove,Springfield,53994155,4075.00,-17101.39
Aaron,Gertrude,Collinsville,Franklin,1393261187,56.03,-9612.11
Aaron,Guillermo,Clifton,Friendship,1683770846,1924.90,-17892.31
Aaron,Gus,Wildwood,Mount Olive,637460770,2393.77,-7408.46
Aaron,Gwendolyn,Lakeview,Walnut Grove,2074392117,473.76,-1957.29
Aaron,Hallie,Walnut Grove,Crossroads,1394659387,444.62,-1293.47
Aaron,Hector,Valley View,Five Forks,196195419,28.27,3973.51
Aaron,James,Buena Vista,Riverview,1963582879,24.28,-6868.00
Aaron,James,Riverside,Concord,964385187,5456.10,-12910.52
Aaron,James,Saratoga,Newtown,86243073,8316.55,-24287.17
Aaron,James,Walnut Grove,Harmony,684480379,6278.01,-9942.55
Aaron,Janet,Harmony,Plainview,1973736703,3440.39,-9824.67
Aaron,Jason,Ashland,Union Hill,1786076520,1341.90,-11141.52
Aaron,Jeannette,Highland,Walnut Grove,1467613217,150.98,-12835.34
Aaron,Jennifer,Summit,Dudley,1171028940,990.92,-17000.36
Aaron,Jessica,Red Hill,Clinton,1974978424,69.37,-4396.56
Aaron,Jessica,Union,Roy,918918318,2598.93,-9790.95
Aaron,Jill,Kingston,Glendale,641796367,5203.77,-12071.93
Aaron,John,Fairfield,Sunnyside,2061885866,2276.66,-8716.91
